"","fixed.acidity","volatile.acidity","citric.acid","residual.sugar","chlorides","free.sulfur.dioxide","total.sulfur.dioxide","density","pH","sulphates","alcohol","quality","predtest"
"3",8.1,0.28,0.4,6.9,0.05,30,97,0.9951,3.26,0.44,10.1,6,5.8491732692559
"7",6.2,0.32,0.16,7,0.045,30,136,0.9949,3.18,0.47,9.6,6,5.444462830882
"9",6.3,0.3,0.34,1.6,0.049,14,132,0.994,3.3,0.49,9.5,6,5.18488779041791
"23",6.8,0.26,0.42,1.7,0.049,41,122,0.993,3.47,0.48,10.5,8,5.94890287019317
"31",8.5,0.24,0.39,10.4,0.044,20,142,0.9974,3.2,0.53,10,6,5.87758933504894
"37",6.5,0.39,0.23,5.4,0.051,25,149,0.9934,3.24,0.35,10,5,5.46083200347624
"38",7,0.33,0.32,1.2,0.053,38,138,0.9906,3.13,0.28,11.2,6,5.83745456923129
"43",7,0.31,0.26,7.4,0.069,28,160,0.9954,3.13,0.46,9.8,6,5.38026176498481
"45",6.7,0.23,0.26,1.4,0.06,33,154,0.9934,3.24,0.56,9.5,6,5.51017214211933
"52",6.6,0.25,0.29,1.1,0.068,39,124,0.9914,3.34,0.58,11,7,6.09786963004111
"53",6.2,0.16,0.33,1.1,0.057,21,82,0.991,3.32,0.46,10.9,7,6.12841148434254
"56",6.9,0.25,0.35,1.3,0.039,29,191,0.9908,3.13,0.52,11,6,6.13577726803724
"64",6.6,0.38,0.15,4.6,0.044,25,78,0.9931,3.11,0.38,10.2,6,5.41640672002611
"72",6.8,0.3,0.23,4.6,0.061,50.5,238.5,0.9958,3.32,0.6,9.5,5,5.44616521808669
"76",7.4,0.24,0.29,10.1,0.05,21,105,0.9962,3.13,0.35,9.5,5,5.60460644937913
"78",7,0.32,0.34,1.3,0.042,20,69,0.9912,3.31,0.65,12,7,6.25944254095138
"92",6.1,0.27,0.43,7.5,0.049,65,243,0.9957,3.12,0.47,9,5,5.43259078412743
"94",6.9,0.21,0.33,1.8,0.034,48,136,0.9899,3.25,0.41,12.6,7,6.78782963608588
"103",6,0.21,0.24,12.1,0.05,55,164,0.997,3.34,0.39,9.4,5,5.87710571671056
"107",7.1,0.12,0.32,9.6,0.054,64,162,0.9962,3.4,0.41,9.4,5,6.23159429229844
"112",7.2,0.27,0.46,18.75,0.052,45,255,1,3.04,0.52,8.9,5,5.68537754423858
"115",6.7,0.41,0.34,9.2,0.049,29,150,0.9968,3.22,0.51,9.1,5,5.16108920170099
"118",7,0.14,0.4,1.7,0.035,16,85,0.9911,3.19,0.42,11.8,6,6.38032059525056
"126",6.7,0.19,0.36,1.1,0.026,63,143,0.9912,3.27,0.48,11,6,6.44048699329303
"129",6.1,0.3,0.56,2.8,0.044,47,179,0.9924,3.3,0.57,10.9,7,5.98329025862141
"131",5.7,0.26,0.25,10.4,0.02,7,57,0.994,3.39,0.37,10.6,5,6.233166206467
"134",6.6,0.24,0.27,15.8,0.035,46,188,0.9982,3.24,0.51,9.2,5,6.02470678130825
"146",6.3,0.255,0.37,1.1,0.04,37,114,0.9905,3,0.39,10.9,6,5.84158604198723
"153",6.9,0.25,0.3,4.1,0.054,23,116,0.994,2.99,0.38,9.4,6,5.22167453455032
"157",7.4,0.24,0.42,14,0.066,48,198,0.9979,2.89,0.42,8.9,6,5.43810344174304
"165",6.7,0.24,0.35,13.1,0.05,64,205,0.997,3.15,0.5,9.5,5,5.96624301464779
"166",7,0.23,0.36,13,0.051,72,177,0.9972,3.16,0.49,9.8,5,6.05331862697397
"168",6.7,0.46,0.18,2.4,0.034,25,98,0.9896,3.08,0.44,12.6,7,6.12035273017704
"169",7.5,0.29,0.31,8.95,0.055,20,151,0.9968,3.08,0.54,9.3,5,5.34450442167099
"181",6.4,0.33,0.31,5.5,0.048,42,173,0.9951,3.19,0.66,9.3,6,5.42187245389791
"182",7.1,0.34,0.15,1.2,0.053,61,183,0.9936,3.09,0.43,9.2,5,5.18967683513861
"190",6.5,0.28,0.28,8.5,0.047,54,210,0.9962,3.09,0.54,8.9,4,5.4407036285695
"191",6.6,0.28,0.28,8.5,0.052,55,211,0.9962,3.09,0.55,8.9,6,5.4436970653217
"194",6.6,0.15,0.34,5.1,0.055,34,125,0.9942,3.36,0.42,9.6,5,5.89530427733455
"199",7.1,0.32,0.24,13.1,0.05,52,204,0.998,3.1,0.49,8.8,5,5.48334276020148
"204",6.8,0.26,0.34,13.9,0.034,39,134,0.9949,3.33,0.53,12,6,6.90181322625461
"205",5.8,0.28,0.35,2.3,0.053,36,114,0.9924,3.28,0.5,10.2,4,5.66420402278853
"207",7,0.16,0.32,8.3,0.045,38,126,0.9958,3.21,0.34,9.2,5,5.74318189106963
"211",5.6,0.245,0.25,9.7,0.032,12,68,0.994,3.31,0.34,10.5,5,6.03601720946116
"219",5.7,0.28,0.24,17.5,0.044,60,167,0.9989,3.31,0.44,9.4,5,5.89561407824931
"223",6.2,0.25,0.25,1.4,0.03,35,105,0.9912,3.3,0.44,11.1,7,6.1398329321408
"234",7.2,0.23,0.38,14.3,0.058,55,194,0.9979,3.09,0.44,9,6,5.75179210666561
"236",7.2,0.23,0.38,14.3,0.058,55,194,0.9979,3.09,0.44,9,6,5.75179210666561
"240",6.2,0.25,0.21,15.55,0.039,28,159,0.9982,3.48,0.64,9.6,6,6.20180896295071
"242",7.7,0.31,0.26,7.8,0.031,23,90,0.9944,3.13,0.5,10.4,5,5.96344533262313
"243",7.1,0.21,0.37,2.4,0.026,23,100,0.9903,3.15,0.38,11.4,7,6.42492842919743
"247",6.8,0.21,0.27,2.1,0.03,26,139,0.99,3.16,0.61,12.6,7,6.76009683710562
"248",5.8,0.2,0.27,1.4,0.031,12,77,0.9905,3.25,0.36,10.9,7,6.05570611357707
"255",5.8,0.24,0.39,1.5,0.054,37,158,0.9932,3.21,0.52,9.3,6,5.35040424711144
"256",6.7,0.26,0.39,1.1,0.04,45,147,0.9935,3.32,0.58,9.6,8,5.6514349133996
"259",6.4,0.23,0.39,1.8,0.032,23,118,0.9912,3.32,0.5,11.8,6,6.34054951570417
"261",6.9,0.115,0.35,5.4,0.048,36,108,0.9939,3.32,0.42,10.2,6,6.17644017444168
"264",7.2,0.29,0.4,13.6,0.045,66,231,0.9977,3.08,0.59,9.6,6,5.90731984229427
"281",7,0.24,0.36,2.8,0.034,22,112,0.99,3.19,0.38,12.6,8,6.61262016430759
"288",7.2,0.23,0.39,14.2,0.058,49,192,0.9979,2.98,0.48,9,7,5.63413664412823
"296",6.3,0.33,0.27,1.2,0.046,34,175,0.9934,3.37,0.54,9.4,6,5.40969888389064
"309",6.2,0.33,0.27,4.9,0.036,30,134,0.9927,3.2,0.42,10.4,7,5.77046656997433
"314",5.7,0.36,0.21,6.7,0.038,51,166,0.9941,3.29,0.63,10,6,5.81795087194966
"317",6.8,0.25,0.34,4.7,0.031,34,134,0.9927,3.21,0.38,10.6,6,6.05124229307463
"322",6.6,0.24,0.35,7.7,0.031,36,135,0.9938,3.19,0.37,10.5,5,6.08077278764899
"324",6.8,0.28,0.44,9.3,0.031,35,137,0.9946,3.16,0.36,10.4,6,5.9714757725976
"332",6.8,0.24,0.34,4.6,0.032,37,135,0.9927,3.2,0.39,10.6,5,6.06776539439614
"334",6.5,0.28,0.34,9.9,0.038,30,133,0.9954,3.11,0.44,9.8,5,5.70396205090127
"344",5.4,0.31,0.47,3,0.053,46,144,0.9931,3.29,0.76,10,5,5.6880788527135
"345",5.4,0.29,0.47,3,0.052,47,145,0.993,3.29,0.75,10,6,5.74872649366388
"347",5.6,0.34,0.1,1.3,0.031,20,68,0.9906,3.36,0.51,11.2,7,6.01975050876016
"355",5.8,0.4,0.42,4.4,0.047,38.5,245,0.9937,3.25,0.57,9.6,6,5.38921223876062
"370",7.1,0.39,0.35,12.5,0.044,26,72,0.9941,3.17,0.29,11.6,5,6.19964108990607
"383",7.5,0.35,0.28,9.6,0.051,26,157,0.9969,3.12,0.53,9.2,6,5.33470003267668
"390",7,0.3,0.38,14.9,0.032,60,181,0.9983,3.18,0.61,9.3,7,5.95867827424043
"391",7,0.3,0.38,14.9,0.032,60,181,0.9983,3.18,0.61,9.3,7,5.95867827424043
"392",6.5,0.36,0.32,1.1,0.031,13,66,0.9916,3.1,0.46,10.6,5,5.49357692827887
"394",7.3,0.24,0.43,2,0.021,20,69,0.99,3.08,0.56,12.2,6,6.5832368113565
"397",8.2,0.28,0.42,1.8,0.031,30,93,0.9917,3.09,0.39,11.4,5,6.09239498894025
"399",5.9,0.26,0.27,18.2,0.048,52,168,0.9993,3.35,0.44,9.4,5,5.94014145549329
"402",6.8,0.37,0.51,11.8,0.044,62,163,0.9976,3.19,0.44,8.8,5,5.38906704224252
"405",6.8,0.22,0.31,6.3,0.035,33,170,0.9918,3.24,0.66,12.6,6,6.92255045916392
"407",5.8,0.28,0.34,4,0.031,40,99,0.9896,3.39,0.39,12.8,7,6.85609451168509
"413",7.2,0.19,0.39,1.2,0.036,32,85,0.9918,3.16,0.5,10.5,5,6.04603912799097
"418",6.8,0.26,0.22,7.7,0.047,57,210,0.9959,3.1,0.47,9,5,5.50055487866755
"420",7.4,0.31,0.28,1.6,0.05,33,137,0.9929,3.31,0.56,10.5,6,5.82306510367849
"428",6.8,0.29,0.5,13.3,0.053,48,194,0.9974,3.09,0.45,9.4,5,5.62016919269122
"429",7.8,0.21,0.27,1.2,0.051,20,89,0.9936,3.06,0.46,9.1,5,5.32565491530413
"433",7.4,0.155,0.34,2.3,0.045,73.5,214,0.9934,3.18,0.61,9.9,7,6.14715299925894
"441",6.7,0.22,0.37,1.6,0.028,24,102,0.9913,3.29,0.59,11.6,7,6.39558302561343
"449",6.5,0.41,0.24,14,0.048,24,113,0.9982,3.44,0.53,9.8,6,5.6224473848587
"452",6.1,0.2,0.25,1.2,0.038,34,128,0.9921,3.24,0.44,10.1,5,5.80227219266202
"455",6.4,0.28,0.29,1.6,0.052,34,127,0.9929,3.48,0.56,10.5,7,5.88717172521626
"456",6.4,0.41,0.24,14,0.048,24,113,0.9982,3.44,0.53,9.8,6,5.6069760668349
"458",7.1,0.21,0.27,8.6,0.056,26,111,0.9956,2.95,0.52,9.5,5,5.5279987807478
"461",7.1,0.21,0.27,8.6,0.056,26,111,0.9956,2.95,0.52,9.5,5,5.5279987807478
"462",7,0.25,0.29,15.2,0.047,40,171,0.9982,3.22,0.45,9.3,5,5.87271182281719
"463",5.9,0.25,0.19,12.4,0.047,50,162,0.9973,3.35,0.38,9.5,5,5.76668981116544
"483",5.8,0.25,0.24,13.3,0.044,41,137,0.9972,3.34,0.42,9.5,5,5.83448802074199
"484",6.7,0.47,0.34,8.9,0.043,31,172,0.9964,3.22,0.6,9.2,5,5.21004323387508
"490",7.4,0.26,0.31,7.6,0.047,52,177,0.9962,3.13,0.45,8.9,6,5.49251703309691
"491",7,0.28,0.36,1,0.035,8,70,0.9899,3.09,0.46,12.1,6,6.19331338321174
"494",6.3,0.19,0.28,1.8,0.022,28,158,0.9907,3.2,0.64,11.4,6,6.50932930113438
"512",7.8,0.34,0.35,1.8,0.042,8,167,0.9908,3.11,0.41,12.1,6,6.08645025912896
"519",5.9,0.13,0.28,1.9,0.05,20,78,0.9918,3.43,0.64,10.8,6,6.32062837463832
"523",6.9,0.25,0.4,1.3,0.038,22,101,0.9901,3.03,0.39,11.4,6,6.07441432632962
"530",5.6,0.19,0.47,4.5,0.03,19,112,0.9922,3.56,0.45,11.2,6,6.4624013936662
"538",7.4,0.25,0.36,13.2,0.067,53,178,0.9976,3.01,0.48,9,6,5.59018949865806
"544",6.7,0.24,0.41,8.7,0.036,29,148,0.9952,3.22,0.62,9.9,6,5.99576798574146
"545",6.8,0.28,0.17,13.9,0.047,49,162,0.9983,3.21,0.51,9,6,5.67902953860748
"546",6.4,0.16,0.22,1.4,0.04,41,149,0.9933,3.49,0.58,10,6,6.08682283661293
"547",6.3,0.26,0.24,7.2,0.039,38,172,0.9958,3.49,0.64,9.7,6,5.94237101358511
"554",7,0.3,0.51,13.6,0.05,40,168,0.9976,3.07,0.52,9.6,7,5.65048897506031
"563",7.7,0.34,0.27,8.8,0.063,39,184,0.9969,3.09,0.63,9.2,6,5.36076417875521
"569",6.1,0.26,0.51,2.2,0.05,61,154,0.9929,3.08,0.6,9.8,6,5.59157180343279
"582",5.7,0.18,0.22,4.2,0.042,25,111,0.994,3.35,0.39,9.4,5,5.61809505603178
"584",7.4,0.24,0.22,10.7,0.042,26,81,0.9954,2.86,0.36,9.7,6,5.63335533580837
"590",7,0.23,0.33,5.8,0.04,25,136,0.995,3.19,0.58,9.5,6,5.68247389623438
"593",6.9,0.41,0.33,10.1,0.043,28,152,0.9968,3.2,0.52,9.4,5,5.3303859109244
"630",5.8,0.31,0.33,1.2,0.036,23,99,0.9916,3.18,0.6,10.5,6,5.68645182937598
"631",7,0.23,0.42,18.05,0.05,35,144,0.9999,3.22,0.42,8.8,5,5.71613237232986
"635",6.1,0.17,0.28,4.5,0.033,46,150,0.9933,3.43,0.49,10.9,6,6.36263906580825
"640",5.8,0.335,0.14,5.8,0.046,49,197,0.9937,3.3,0.71,10.3,5,5.94899761710166
"644",6.4,0.24,0.28,11.5,0.05,34,163,0.9969,3.31,0.45,9.5,5,5.77370318224688
"646",6.3,0.26,0.25,7.8,0.058,44,166,0.9961,3.24,0.41,9,5,5.36589801734527
"667",6.8,0.22,0.37,1.7,0.036,38,195,0.9908,3.35,0.72,12.5,6,6.84181608670409
"680",5.7,0.32,0.38,4.75,0.033,23,94,0.991,3.42,0.42,11.8,7,6.39253927797287
"687",6.8,0.22,0.35,5.5,0.043,21,114,0.9938,3.3,0.53,10.7,7,6.06828858105956
"692",6.1,0.36,0.16,6.4,0.037,36,198,0.9944,3.17,0.62,9.9,6,5.60861074028835
"697",6.7,0.19,0.34,1,0.022,22,94,0.9912,3.23,0.57,11.1,6,6.29390247520867
"708",7.2,0.18,0.45,4.4,0.046,57,166,0.9943,3.13,0.62,11.2,6,6.13629175529395
"712",8.2,0.27,0.43,1.6,0.035,31,128,0.9916,3.1,0.5,12.3,6,6.3220861894645
"713",8.2,0.27,0.43,1.6,0.035,31,128,0.9916,3.1,0.5,12.3,6,6.3220861894645
"717",7.7,0.42,0.31,9.2,0.048,22,221,0.9969,3.06,0.61,9.2,6,5.20105152003847
"718",7,0.27,0.41,18.75,0.042,34,157,1.0002,2.96,0.5,9.1,5,5.52628042022477
"719",6.2,0.21,0.27,1.7,0.038,41,150,0.9933,3.49,0.71,10.5,7,6.15321537889347
"722",6,0.3,0.44,1.5,0.046,15,182,0.99455,3.5,0.52,10.4,5,5.40220351758088
"727",6.4,0.24,0.31,2.8,0.038,41,114,0.99155,3.37,0.66,11.7,7,6.5504197433645
"729",6.4,0.16,0.31,5.3,0.043,42,157,0.99455,3.35,0.47,10.5,5,6.05645951684286
"734",6.6,0.25,0.3,14.4,0.052,40,183,0.998,3.02,0.5,9.1,6,5.56182498964546
"737",6.6,0.25,0.3,14.4,0.052,40,183,0.998,3.02,0.5,9.1,6,5.56182498964546
"744",5.9,0.26,0.25,12.5,0.034,38,152,0.9977,3.33,0.43,9.4,5,5.68666286711065
"745",7.4,0.38,0.27,7.5,0.041,24,160,0.99535,3.17,0.43,10,5,5.48574718255675
"749",6.9,0.18,0.38,8.1,0.049,44,176,0.9958,3.3,0.54,9.8,6,6.00272431580759
"750",7.3,0.3,0.42,7.35,0.025,51,175,0.9928,3.04,0.32,11.4,6,6.26872395280774
"763",6.8,0.24,0.49,19.3,0.057,55,247,1.00055,3,0.56,8.7,5,5.60816133594716
"766",7.2,0.27,0.42,1.6,0.05,35,135,0.992,2.94,0.46,11,6,5.67077230962749
"769",6.7,0.11,0.34,8.8,0.043,41,113,0.9962,3.42,0.4,9.3,7,6.05023478309612
"777",8.3,0.14,0.45,1.5,0.039,18,98,0.99215,3.02,0.56,11,6,6.17683360871735
"778",7.2,0.23,0.19,13.7,0.052,47,197,0.99865,3.12,0.53,9,5,5.65863449590568
"788",7.7,0.34,0.28,11,0.04,31,117,0.99815,3.27,0.29,9.2,6,5.32700721042884
"791",7.7,0.34,0.28,11,0.04,31,117,0.99815,3.27,0.29,9.2,6,5.32700721042884
"796",7.2,0.31,0.26,7.3,0.05,37,157,0.99625,3.09,0.43,9,5,5.20246087591991
"797",7.8,0.42,0.23,8.8,0.054,42,215,0.9971,3.02,0.58,9.2,6,5.14500195231307
"800",6,0.18,0.31,1.4,0.036,14,75,0.99085,3.34,0.58,11.1,8,6.31548092798352
"807",6.4,0.31,0.26,13.2,0.046,57,205,0.9975,3.17,0.41,9.6,5,5.66298692952299
"813",6.4,0.35,0.28,1.1,0.055,9,160,0.99405,3.42,0.5,9.1,7,5.07618926996602
"817",8.4,0.18,0.42,5.1,0.036,7,77,0.9939,3.16,0.52,11.7,5,6.29266519137386
"830",7.1,0.16,0.36,1.2,0.043,21,90,0.9925,3.16,0.42,11,7,5.89686691313673
"833",7.3,0.3,0.34,2.7,0.044,34,108,0.99105,3.36,0.53,12.8,8,6.64420189660937
"839",7.3,0.25,0.36,2.1,0.034,30,177,0.99085,3.25,0.4,11.9,8,6.44763906547321
"843",8.7,0.23,0.32,13.4,0.044,35,169,0.99975,3.12,0.47,8.8,7,5.55900780094763
"846",7.3,0.21,0.29,1.6,0.034,29,118,0.9917,3.3,0.5,11,8,6.29924418183289
"847",6.6,0.22,0.37,15.4,0.035,62,153,0.99845,3.02,0.4,9.3,5,5.75445744467481
"870",7.3,0.24,0.29,1.2,0.037,37,97,0.9926,3.19,0.7,10.1,6,5.9560279272772
"873",6.3,0.26,0.21,4,0.03,24,125,0.9915,3.06,0.34,10.7,6,5.91458550440756
"875",7.7,0.15,0.29,1.3,0.029,10,64,0.9932,3.35,0.39,10.1,5,5.94515261687487
"882",8.8,0.36,0.44,1.9,0.04,9,121,0.9953,3.19,0.48,9.9,6,5.19340666380398
"883",7.4,0.26,0.43,6,0.022,22,125,0.9928,3.13,0.55,11.5,6,6.3752372164301
"888",6.5,0.3,0.32,2,0.044,34,90,0.99185,3.37,0.68,11,7,6.16498836954766
"889",7.3,0.26,0.31,1.6,0.04,39,173,0.9918,3.19,0.51,11.4,6,6.16689384133648
"890",6.5,0.3,0.32,2,0.044,34,90,0.99185,3.37,0.68,11,7,6.16498836954766
"900",6.8,0.18,0.28,8.5,0.047,52,242,0.9952,3.22,0.53,10.5,6,6.2189387399114
"904",5.9,0.31,0.3,7.7,0.047,60,206,0.995,3.2,0.39,9.6,6,5.56223708383123
"910",7.5,0.24,0.31,13,0.049,46,217,0.9985,3.08,0.53,8.8,5,5.58892689694627
"912",6.2,0.33,0.19,5.6,0.042,22,143,0.99425,3.15,0.63,9.9,5,5.52035772140705
"915",8,0.32,0.26,1.2,0.05,11.5,88,0.9946,3.24,0.37,9.5,4,5.09330017034561
"924",6.5,0.26,0.27,12.9,0.044,69,215,0.9967,3.17,0.43,10,6,6.0332643504385
"928",6.7,0.25,0.33,2.9,0.057,52,173,0.9934,3.02,0.48,9.5,7,5.43399341258257
"933",6.5,0.26,0.28,12.5,0.046,80,225,0.99685,3.18,0.41,10,6,6.0060379299589
"936",6.1,0.27,0.44,6.7,0.041,61,230,0.99505,3.12,0.4,8.9,5,5.43183426661782
"940",7.7,0.24,0.29,15.3,0.044,39,194,0.9982,3.06,0.47,9.6,7,5.92541146619234
"941",6.2,0.34,0.28,7.5,0.034,40,197,0.99485,3.14,0.6,9.7,5,5.63402660537728
"943",5.4,0.415,0.19,1.6,0.039,27,88,0.99265,3.54,0.41,10,7,5.4201906764572
"946",6.7,0.15,0.29,5,0.058,28,105,0.9946,3.52,0.44,10.2,7,6.04157255819228
"948",8.5,0.16,0.35,1.6,0.039,24,147,0.9935,2.96,0.36,10,5,5.63484325251932
"950",7.3,0.25,0.39,6.4,0.034,8,84,0.9942,3.18,0.46,11.5,5,6.0151013246114
"964",6.1,0.19,0.25,4,0.023,23,112,0.9923,3.37,0.51,11.6,6,6.45226330732674
"968",6.8,0.22,0.35,17.5,0.039,38,153,0.9994,3.24,0.42,9,6,5.86851837349487
"973",6.8,0.22,0.35,17.5,0.039,38,153,0.9994,3.24,0.42,9,6,5.86851837349487
"976",7.6,0.3,0.25,4.3,0.054,22,111,0.9956,3.12,0.49,9.2,5,5.12958804422033
"983",5.1,0.39,0.21,1.7,0.027,15,72,0.9894,3.5,0.45,12.5,6,6.37264138635586
"989",6.9,0.19,0.33,1.6,0.043,63,149,0.9925,3.44,0.52,10.8,5,6.36747739006451
"991",8.6,0.16,0.38,3.4,0.04,41,143,0.9932,2.95,0.39,10.2,6,5.97752935899582
"994",7,0.24,0.18,1.3,0.046,9,62,0.994,3.38,0.47,10.1,4,5.51662530517617
"1001",8,0.19,0.36,1.8,0.05,16,84,0.9936,3.15,0.45,9.8,7,5.61247696229476
"1002",6.4,0.28,0.41,6.8,0.045,61,216,0.9952,3.09,0.46,9.4,5,5.50171482207072
"1005",5.8,0.36,0.26,3.3,0.038,40,153,0.9911,3.34,0.55,11.3,6,6.19491255735052
"1011",7.6,0.16,0.44,1.4,0.043,25,109,0.9932,3.11,0.75,10.3,6,5.96537235305517
"1022",8.6,0.2,0.42,1.5,0.041,35,125,0.9925,3.11,0.49,11.4,7,6.21176809517241
"1033",7.1,0.3,0.36,6.8,0.055,44.5,234,0.9972,3.49,0.64,10.2,6,5.72533882299614
"1048",7,0.31,0.52,1.7,0.029,5,61,0.9918,3.07,0.43,10.4,5,5.56920436423778
