"","fixed.acidity","volatile.acidity","citric.acid","residual.sugar","chlorides","free.sulfur.dioxide","total.sulfur.dioxide","density","pH","sulphates","alcohol","quality","predtest"
"3122",7.6,0.23,0.34,1.6,0.043,24,129,0.99305,3.12,0.7,10.4,5,5.86938483597975
"3123",5.6,0.18,0.27,1.7,0.03,31,103,0.98892,3.35,0.37,12.9,6,6.8689572317973
"3128",7.6,0.3,0.38,2.1,0.043,10,98,0.99296,3.17,0.65,11,5,5.81841769797087
"3137",5.6,0.19,0.27,0.9,0.04,52,103,0.99026,3.5,0.39,11.2,5,6.4948404530558
"3141",6.6,0.39,0.39,11.9,0.057,51,221,0.99851,3.26,0.51,8.9,6,5.20650902852545
"3145",6.2,0.23,0.36,17.2,0.039,37,130,0.99946,3.23,0.43,8.8,6,5.67400936373651
"3146",6.2,0.23,0.36,17.2,0.039,37,130,0.99946,3.23,0.43,8.8,6,5.67400936373651
"3147",6.2,0.23,0.36,17.2,0.039,37,130,0.99946,3.23,0.43,8.8,6,5.67400936373651
"3156",6.8,0.39,0.34,7.4,0.02,38,133,0.99212,3.18,0.44,12,7,6.40966892729313
"3162",6.1,0.17,0.42,15.1,0.033,28,124,0.99684,2.87,0.47,9.5,5,5.82170161339307
"3164",7.1,0.36,0.37,4.8,0.019,39,114,0.99036,3.08,0.49,12.7,7,6.63775976239375
"3172",7.3,0.2,0.39,2.3,0.048,24,87,0.99044,2.94,0.35,12,6,6.18954252527864
"3173",6.7,0.33,0.36,6.6,0.042,34,116,0.99123,2.97,0.31,12.2,8,6.20204923941177
"3174",6.7,0.33,0.34,7.5,0.036,39,124,0.99123,2.99,0.32,12.4,8,6.39477934425898
"3176",7.8,0.21,0.34,11.9,0.039,55,140,0.9959,3.02,0.31,10.3,6,6.13392565426449
"3178",5.6,0.41,0.22,7.1,0.05,44,154,0.9931,3.3,0.4,10.5,5,5.74961407858802
"3180",8.5,0.2,0.4,1.1,0.046,31,106,0.99194,3,0.35,10.5,4,5.8813721907378
"3186",6.5,0.21,0.4,7.3,0.041,49,115,0.99268,3.21,0.43,11,6,6.4267968376145
"3188",6.7,0.18,0.37,1.3,0.027,42,125,0.98939,3.24,0.37,12.8,7,6.85619391860778
"3191",5.8,0.28,0.3,1.5,0.026,31,114,0.98952,3.32,0.6,12.5,7,6.66868881044352
"3193",8.3,0.16,0.37,7.9,0.025,38,107,0.99306,2.93,0.37,11.9,6,6.6265735170961
"3199",6.4,0.22,0.38,9.1,0.044,35,127,0.99326,2.97,0.3,11,7,6.04969868182328
"3203",5.6,0.42,0.34,2.4,0.022,34,97,0.98915,3.22,0.38,12.8,7,6.32429304617291
"3205",6.8,0.28,0.34,7.5,0.035,34,177,0.99692,3.33,0.43,9.1,5,5.40712576644864
"3212",8.2,0.3,0.44,12.4,0.043,52,154,0.99452,3.04,0.33,12,6,6.55692727378649
"3213",6.4,0.24,0.32,0.95,0.041,23,131,0.99033,3.25,0.35,11.8,5,6.19282578147714
"3218",5.8,0.33,0.23,5,0.053,29,106,0.99458,3.13,0.52,9,5,5.08174163103744
"3225",5.7,0.15,0.28,3.7,0.045,57,151,0.9913,3.22,0.27,11.2,6,6.30581255774717
"3226",6.6,0.33,0.4,2.65,0.041,35,86,0.98916,3.11,0.39,13.3,7,6.55302793336446
"3246",7.6,0.27,0.29,2.5,0.059,37,115,0.99328,3.09,0.37,9.8,5,5.46239855353352
"3248",7.7,0.27,0.49,3.8,0.037,46,139,0.99116,3.04,0.38,11.6,6,6.34078042179807
"3252",6.7,0.24,0.37,11.3,0.043,64,173,0.99632,3.08,0.53,9.9,6,5.95756014259646
"3256",7.4,0.19,0.31,14.5,0.045,39,193,0.9986,3.1,0.5,9.2,6,5.82870605681873
"3260",7.4,0.19,0.31,14.5,0.045,39,193,0.9986,3.1,0.5,9.2,6,5.82870605681873
"3261",7.4,0.19,0.31,14.5,0.045,39,193,0.9986,3.1,0.5,9.2,6,5.82870605681873
"3265",5.9,0.24,0.12,1.4,0.035,60,247,0.99358,3.34,0.44,9.6,6,5.63980916746898
"3273",7.5,0.22,0.32,2.4,0.045,29,100,0.99135,3.08,0.6,11.3,7,6.28271569383121
"3274",6.4,0.23,0.32,1.9,0.038,40,118,0.99074,3.32,0.53,11.8,7,6.50608304276215
"3285",8,0.34,0.25,6.4,0.035,38,103,0.99148,2.91,0.23,12.2,6,6.25814857572529
"3294",6.8,0.17,0.35,1.8,0.04,29,84,0.98961,2.91,0.57,12,7,6.46617219684265
"3303",6.6,0.24,0.28,6.7,0.032,26,91,0.99172,3.13,0.32,12.3,6,6.47457062688218
"3307",6,0.32,0.3,1.9,0.033,41,142,0.98912,3.29,0.42,12.8,7,6.63553335831221
"3314",7.3,0.145,0.33,1.1,0.042,14,64,0.99012,3.1,0.37,11.8,7,6.37327326880042
"3321",7.5,0.29,0.36,15.7,0.05,29,124,0.9968,3.06,0.54,10.4,5,6.15324504166946
"3329",6.4,0.24,0.29,1,0.038,18,122,0.9906,3.3,0.42,11.5,5,6.19557895378154
"3332",6.8,0.23,0.32,8.6,0.046,47,159,0.99452,3.08,0.52,10.5,6,6.06351710993566
"3333",6.5,0.22,0.28,3.7,0.059,29,151,0.99177,3.23,0.41,12.1,7,6.24846726641802
"3335",6.6,0.425,0.25,2.35,0.034,23,87,0.99082,3.05,0.41,11.4,6,5.70766152990708
"3336",6.9,0.38,0.29,13.65,0.048,52,189,0.99784,3,0.6,9.5,6,5.49280267381397
"3338",6.9,0.38,0.29,13.65,0.048,52,189,0.99784,3,0.6,9.5,6,5.49280267381397
"3339",7.2,0.27,0.28,15.2,0.046,6,41,0.99665,3.17,0.39,10.9,6,6.10032717057746
"3341",6.2,0.3,0.31,1.2,0.048,19,125,0.98999,3.32,0.54,12.6,6,6.39181727874624
"3342",7.6,0.17,0.27,4.6,0.05,23,98,0.99422,3.08,0.47,9.5,6,5.67667986861543
"3343",6.5,0.26,0.32,6.65,0.059,34,104,0.99254,3.18,0.42,11.1,5,6.11939902099969
"3345",6.9,0.38,0.29,13.65,0.048,52,189,0.99784,3,0.6,9.5,6,5.49280267381397
"3347",6.7,0.18,0.24,10.3,0.057,64,185,0.99519,3.12,0.5,10.6,6,6.25473060437625
"3349",7.2,0.27,0.28,15.2,0.046,6,41,0.99665,3.17,0.39,10.9,6,6.10032717057746
"3350",6.4,0.17,0.27,9.9,0.047,26,101,0.99596,3.34,0.5,9.9,6,6.02138190536819
"3351",7.2,0.22,0.28,7.2,0.06,41,132,0.9935,3.08,0.59,11.3,6,6.26710054177376
"3352",6,0.22,0.28,1.1,0.034,47,90,0.98862,3.22,0.38,12.6,6,6.734143687773
"3353",6.7,0.36,0.28,8.3,0.034,29,81,0.99151,2.96,0.39,12.5,6,6.34731119711493
"3356",5.3,0.32,0.23,9.65,0.026,26,119,0.99168,3.18,0.53,12.2,6,6.61668459435334
"3357",6.8,0.2,0.28,12.6,0.048,54,136,0.99556,3.19,0.37,10.7,6,6.34768904880347
"3366",7.6,0.2,0.26,4.8,0.033,26,76,0.99076,2.98,0.49,12.3,7,6.6739295237898
"3373",5.6,0.15,0.26,5.55,0.051,51,139,0.99336,3.47,0.5,11,6,6.40401922599611
"3375",5.9,0.19,0.21,1.7,0.045,57,135,0.99341,3.32,0.44,9.5,5,5.66256581858326
"3384",6.4,0.22,0.32,4.9,0.046,50,156,0.99316,3.38,0.55,11.2,6,6.36142125291369
"3392",6.9,0.28,0.3,8.3,0.026,37,113,0.99139,2.99,0.38,12.3,8,6.63596250729523
"3393",6.7,0.38,0.26,9.55,0.036,35,91,0.9919,2.98,0.37,12.4,6,6.36333100800121
"3395",6.5,0.25,0.45,7.8,0.048,52,188,0.99576,3.2,0.53,9.1,5,5.61571540126335
"3397",7.4,0.29,0.28,10.2,0.032,43,138,0.9951,3.1,0.47,10.6,6,6.12267147515355
"3399",6.1,0.33,0.32,7.8,0.052,52,183,0.99657,3.39,0.65,9.5,5,5.56257839370761
"3403",7.7,0.46,0.18,3.3,0.054,18,143,0.99392,3.12,0.51,10.8,6,5.28211139686806
"3404",8.8,0.27,0.25,5,0.024,52,99,0.9925,2.87,0.49,11.4,5,6.34845921557891
"3407",5.6,0.32,0.33,7.4,0.037,25,95,0.99268,3.25,0.49,11.1,6,6.08611646250268
"3412",6,0.14,0.17,5.6,0.036,37,127,0.99373,3.05,0.57,9.8,6,5.89888299956625
"3422",6.3,0.29,0.28,4.7,0.059,28,81,0.99036,3.24,0.56,12.7,8,6.60474704908908
"3423",6.2,0.28,0.28,4.3,0.026,22,105,0.989,2.98,0.64,13.1,8,6.81905217076329
"3425",6.4,0.32,0.27,4.9,0.034,18,122,0.9916,3.36,0.71,12.5,6,6.63670503527429
"3428",5.8,0.24,0.26,10.05,0.039,63,162,0.99375,3.33,0.5,11.2,6,6.60578605225626
"3434",6.2,0.255,0.27,1.3,0.037,30,86,0.98834,3.05,0.59,12.9,7,6.6972916822106
"3441",6.8,0.17,0.32,1.4,0.04,35,106,0.99026,3.16,0.66,12,5,6.6555751822526
"3442",7.1,0.25,0.28,1.2,0.04,31,111,0.99174,3.18,0.53,11.1,5,6.03962481826313
"3444",6,0.16,0.22,1.6,0.042,36,106,0.9905,3.24,0.32,11.4,6,6.28206006390282
"3445",6.7,0.3,0.44,18.75,0.057,65,224,0.99956,3.11,0.53,9.1,5,5.79015994647658
"3446",6.6,0.15,0.32,6,0.033,59,128,0.99192,3.19,0.71,12.1,8,7.00703054528478
"3452",6.6,0.21,0.29,5.35,0.029,43,106,0.99112,2.93,0.43,11.5,7,6.38016629827356
"3457",6,0.39,0.13,1.2,0.042,60,172,0.99114,3.06,0.52,10.6,5,5.65186711280756
"3458",6.1,0.105,0.31,1.3,0.037,55,145,0.9912,3.41,0.41,11.1,7,6.5534529027876
"3461",6.8,0.19,0.4,9.85,0.055,41,103,0.99532,2.98,0.56,10.5,6,5.94748281383079
"3464",6.2,0.3,0.31,1.6,0.035,40,106,0.98914,3.26,0.39,12.9,7,6.61271557110359
"3468",6.6,0.24,0.27,10.3,0.047,54,219,0.99742,3.04,0.45,8.8,5,5.35284583900364
"3469",6.6,0.16,0.36,1.1,0.031,27,93,0.98884,3.23,0.34,13.2,8,6.89430331723091
"3472",6.8,0.19,0.4,9.85,0.055,41,103,0.99532,2.98,0.56,10.5,6,5.94748281383079
"3485",6.2,0.37,0.24,6.1,0.032,19,86,0.98934,3.04,0.26,13.4,8,6.53228038645607
"3495",6.7,0.24,0.36,8.4,0.042,42,123,0.99473,3.34,0.52,10.9,6,6.26894460957876
"3497",6,0.24,0.28,3.95,0.038,61,134,0.99146,3.3,0.54,11.3,7,6.4967346717997
"3500",6.1,0.33,0.3,3,0.036,30,124,0.98922,3.31,0.4,13.1,7,6.69344783475049
"3507",7.5,0.33,0.28,4.9,0.042,21,155,0.99385,3.36,0.57,10.9,6,6.0314950890123
"3508",7.1,0.36,0.28,2.4,0.036,35,115,0.98936,3.19,0.44,13.5,7,6.69451542741329
"3513",6.3,0.21,0.31,1.2,0.043,30,117,0.99158,3.49,0.68,11,6,6.40365171767123
"3516",6.8,0.19,0.33,1.3,0.031,22,87,0.98987,3.08,0.62,12.3,7,6.59347461562586
"3518",6.6,0.29,0.29,1.8,0.036,38,102,0.98819,3.08,0.42,13.7,7,6.83047788356313
"3522",5.9,0.23,0.24,3.8,0.038,61,152,0.99139,3.31,0.5,11.3,7,6.49002122923702
"3526",5.3,0.36,0.27,6.3,0.028,40,132,0.99186,3.37,0.4,11.6,6,6.26143821905073
"3528",7.6,0.23,0.29,8.6,0.053,65,146,0.9963,3.11,0.32,9.8,6,5.69316185137062
"3530",7.1,0.35,0.27,3.1,0.034,28,134,0.9897,3.26,0.38,13.1,7,6.67159491911823
"3535",7.2,0.31,0.35,7.2,0.046,45,178,0.9955,3.14,0.53,9.7,5,5.60555802744036
"3536",6.4,0.28,0.44,7.1,0.048,49,179,0.99528,3.15,0.48,9.2,5,5.4789296150437
"3539",6.5,0.28,0.25,4.8,0.029,54,128,0.99074,3.17,0.44,12.2,7,6.64669933335493
"3541",7.8,0.28,0.25,3.4,0.024,27,99,0.98959,2.98,0.37,13,6,6.70321728445227
"3542",8.1,0.26,0.27,4.3,0.03,43,123,0.99212,3.16,0.33,11.2,6,6.34878377176734
"3545",6,0.33,0.2,1.8,0.031,49,159,0.9919,3.41,0.53,11,6,6.09250548041424
"3546",7.3,0.2,0.29,19.5,0.039,69,237,1.00037,3.1,0.48,9.2,6,6.08908595163842
"3550",6,0.33,0.2,1.8,0.031,49,159,0.9919,3.41,0.53,11,6,6.09250548041424
"3551",7.2,0.14,0.32,1.1,0.022,48,116,0.99218,3.04,0.67,10,6,6.14862477602748
"3553",5.7,0.22,0.22,16.65,0.044,39,110,0.99855,3.24,0.48,9,6,5.79453391096949
"3558",8.1,0.2,0.28,0.9,0.023,49,87,0.99062,2.92,0.36,11.1,6,6.2500475511744
"3571",6.9,0.26,0.27,4.2,0.031,20,80,0.99089,3.12,0.39,11.5,6,6.30596715324507
"3574",7.8,0.31,0.4,1.6,0.027,20,87,0.9911,3.15,0.48,11.9,6,6.23121333085407
"3577",7.4,0.28,0.36,14.6,0.048,35,161,0.9968,3.14,0.56,10.6,5,6.22554813928738
"3585",7.4,0.25,0.28,7.25,0.028,14,78,0.99238,2.94,0.37,11.5,7,6.20374289235514
"3586",7,0.24,0.35,1,0.032,42,104,0.98988,3.16,0.37,11.7,7,6.40137792361032
"3596",7.2,0.16,0.29,1,0.031,40,123,0.98958,3.12,0.4,12.1,7,6.69025006154282
"3597",6.6,0.17,0.28,1.1,0.034,55,108,0.98939,3,0.52,11.9,7,6.60690057820405
"3601",6.8,0.12,0.3,12.9,0.049,32,88,0.99654,3.2,0.35,9.9,6,6.11829611825543
"3602",6.6,0.295,0.24,1.6,0.039,29,140,0.99304,3.35,0.61,10.4,7,5.80301988580636
"3603",6.6,0.26,0.24,7.2,0.038,28,137,0.9952,3.35,0.6,10.4,6,5.98187486711923
"3605",7.4,0.36,0.23,1.9,0.017,31,69,0.9892,2.93,0.36,12.5,6,6.3329370763563
"3615",6.4,0.38,0.24,7.2,0.047,41,151,0.99604,3.11,0.6,9.2,5,5.16856931329836
"3623",7.2,0.24,0.3,1.2,0.037,11,95,0.98914,2.96,0.36,12.5,6,6.33467550540642
"3631",6.6,0.3,0.25,8,0.036,21,124,0.99362,3.06,0.38,10.8,6,5.85592184707286
"3659",5.8,0.275,0.3,5.4,0.043,41,149,0.9926,3.33,0.42,10.8,7,6.08470785666298
"3661",5.8,0.32,0.28,4.3,0.032,46,115,0.98946,3.16,0.57,13,8,6.78778074899721
"3675",6.6,0.34,0.2,1,0.053,26,112,0.99336,3.32,0.55,9.1,5,5.25653031697213
"3683",6.4,0.16,0.44,1.2,0.051,39,122,0.99058,3.11,0.75,11.3,7,6.41227117096517
"3689",7.1,0.21,0.35,2.5,0.04,41,186,0.99128,3.32,0.56,12.5,6,6.7434802089809
"3690",7,0.22,0.26,9.2,0.027,37,122,0.99228,3.06,0.34,12.5,8,6.75940644732071
"3692",7.4,0.22,0.26,8.8,0.027,23,112,0.9931,2.98,0.41,11.4,6,6.3828990896779
"3704",7.5,0.24,0.31,13.1,0.05,26,180,0.99884,3.05,0.53,9.1,6,5.44399136945519
"3707",6.6,0.15,0.34,1,0.037,45,79,0.98949,2.96,0.5,11.7,6,6.46563852975171
"3708",6.7,0.34,0.43,1.6,0.041,29,114,0.99014,3.23,0.44,12.6,6,6.30650450852222
"3717",6.8,0.22,0.26,1.2,0.041,29,182,0.99104,3.04,0.35,11.2,5,5.93971312879839
"3732",7,0.34,0.26,10.3,0.041,51,166,0.99382,3.08,0.35,11.6,6,6.24531605289985
"3733",7.5,0.28,0.41,1.3,0.044,11,126,0.99293,3.28,0.45,10.3,5,5.6497079374842
"3734",6.5,0.19,0.34,1.6,0.029,39,116,0.98954,3.21,0.68,12.5,6,6.92744136563232
"3744",7,0.15,0.28,14.7,0.051,29,149,0.99792,2.96,0.39,9,7,5.66090700353162
"3746",7,0.15,0.28,14.7,0.051,29,149,0.99792,2.96,0.39,9,7,5.66090700353162
"3750",6.3,0.28,0.29,6.8,0.051,40,143,0.99374,3.43,0.59,11,6,6.27344648354598
"3752",5.5,0.17,0.23,2.9,0.039,10,108,0.99243,3.28,0.5,10,5,5.81637767156041
"3756",7.8,0.19,0.32,7.4,0.015,47,124,0.99278,2.99,0.39,11,6,6.53770861336961
"3757",5.5,0.17,0.23,2.9,0.039,10,108,0.99243,3.28,0.5,10,5,5.81637767156041
"3760",7.8,0.19,0.32,7.4,0.015,47,124,0.99278,2.99,0.39,11,6,6.53770861336961
"3761",7.8,0.2,0.32,5,0.016,31,101,0.99186,2.99,0.39,11,6,6.38421409309496
"3773",6.3,0.24,0.29,13.7,0.035,53,134,0.99567,3.17,0.38,10.6,6,6.30209974268819
"3775",6.7,0.42,0.39,12.1,0.04,61,248,0.99794,3.31,0.58,9.7,5,5.63252666572013
"3777",6.9,0.33,0.31,7.7,0.04,29,135,0.99226,3.11,0.57,12.3,5,6.47662255238063
"3778",6.5,0.33,0.28,6.1,0.018,41,103,0.99122,3.24,0.32,12.2,6,6.54971720754137
"3781",6.7,0.42,0.39,12.1,0.04,61,248,0.99794,3.31,0.58,9.7,5,5.63252666572013
"3783",7.6,0.27,0.3,9.2,0.018,23,96,0.9938,3.08,0.29,11,6,6.21650932494406
"3787",7.4,0.29,0.48,12.8,0.037,61.5,182,0.99808,3.02,0.34,8.8,5,5.44513586704753
"3790",6.6,0.26,0.52,8.2,0.047,52,191,0.99541,3.16,0.47,9.5,6,5.68861194868531
"3792",6.5,0.26,0.5,8,0.051,46,197,0.99536,3.18,0.47,9.5,5,5.64097089510223
"3795",5.5,0.24,0.45,1.7,0.046,22,113,0.99224,3.22,0.48,10,5,5.53501268272188
"3796",6.5,0.25,0.27,17.4,0.064,29,140,0.99776,3.2,0.49,10.1,6,6.06109137937177
"3801",8.1,0.2,0.3,1.3,0.036,7,49,0.99242,2.99,0.73,10.3,5,5.91022908516104
"3815",7.4,0.34,0.28,12.1,0.049,31,149,0.99677,3.22,0.49,10.3,5,5.84875764102017
"3817",6.8,0.41,0.3,8.8,0.045,28,131,0.9953,3.12,0.59,9.9,5,5.49842228904218
"3818",6.3,0.4,0.24,5.1,0.036,43,131,0.99186,3.24,0.44,11.3,6,6.05962574569142
"3820",5.1,0.35,0.26,6.8,0.034,36,120,0.99188,3.38,0.4,11.5,6,6.23858323722276
"3827",5.1,0.35,0.26,6.8,0.034,36,120,0.99188,3.38,0.4,11.5,6,6.23858323722276
"3828",5.1,0.23,0.18,1,0.053,13,99,0.98956,3.22,0.39,11.5,5,6.01085254601183
"3840",6.2,0.31,0.23,3.3,0.052,34,113,0.99429,3.16,0.48,8.4,5,5.02610370225354
"3843",7.5,0.26,0.31,1.6,0.032,36,109,0.99044,2.97,0.43,11.9,6,6.25124582818779
"3844",7.5,0.34,0.28,4,0.028,46,100,0.98958,3.2,0.5,13.2,7,6.99500010917825
"3847",6.7,0.24,0.32,9,0.023,20,109,0.99262,3.34,0.35,12.6,6,6.82701614296871
"3848",6.4,0.32,0.23,16.2,0.055,36,176,0.9986,3.26,0.54,9.1,5,5.68261809818044
"3857",5.9,0.2,0.23,1.5,0.037,38,93,0.99021,3.36,0.49,12,6,6.58319343819651
"3858",5.4,0.17,0.27,2.7,0.049,28,104,0.99224,3.46,0.55,10.3,6,6.10056031482651
"3859",6.1,0.21,0.3,6.3,0.039,47,136,0.99068,3.27,0.31,12.7,6,6.87077784478842
"3867",8.4,0.23,0.32,1.3,0.048,59,113,0.99178,3.1,0.55,11,6,6.28599487378209
"3878",7.1,0.28,0.31,1.5,0.053,20,98,0.99069,3.15,0.5,11.4,5,6.07509145669745
"3883",7.1,0.2,0.37,1.5,0.049,28,129,0.99226,3.15,0.52,10.8,5,5.93422807700243
"3894",7,0.34,0.1,3.5,0.044,17,63,0.9937,3.01,0.39,9.2,5,5.07596010987808
"3898",7,0.24,0.3,12.3,0.035,72,172,0.9954,2.99,0.57,10.4,6,6.35346853242859
"3900",6,0.21,0.3,8.7,0.036,47,127,0.99368,3.18,0.39,10.6,5,6.20500746670414
"3909",6.2,0.39,0.24,4.8,0.037,45,138,0.99174,3.23,0.43,11.2,7,6.03353931074856
"3910",6.2,0.39,0.24,4.8,0.037,45,138,0.99174,3.23,0.43,11.2,7,6.03353931074856
"3925",8.6,0.31,0.3,0.9,0.045,16,109,0.99249,2.95,0.39,10.1,5,5.42677283162203
"3926",8.6,0.22,0.33,1.2,0.031,38,95,0.99239,2.83,0.31,10.3,5,5.66368751513819
"3933",6.9,0.22,0.28,7.8,0.05,43,116,0.99326,3.22,0.6,11.5,8,6.54633391839137
"3940",6.2,0.27,0.32,6.3,0.048,47,159,0.99282,3.21,0.6,11,6,6.23892497237554
"3944",6.4,0.2,0.15,6.6,0.046,26,113,0.99408,2.99,0.58,9.9,6,5.73092092218103
"3946",6.2,0.27,0.32,6.3,0.048,47,159,0.99282,3.21,0.6,11,6,6.23892497237554
"3951",4.9,0.345,0.34,1,0.068,32,143,0.99138,3.24,0.4,10.1,5,5.25914725247534
"3966",7.3,0.38,0.23,6.5,0.05,18,102,0.99304,3.1,0.55,11.2,4,5.90373012006596
"3970",6.4,0.17,0.3,2.8,0.034,33,125,0.99152,3.03,0.49,10.4,6,6.0426752324524
"3971",6.7,0.18,0.31,10.6,0.035,42,143,0.99572,3.08,0.49,9.8,7,6.01689282681041
"3972",6.4,0.17,0.3,2.8,0.034,33,125,0.99152,3.03,0.49,10.4,6,6.0426752324524
